freq,psd_x,psd_y,psd_z,psd_xyz,zv(83.4),mzv(83.0),ei(100.4),2hump_ei(126.4),3hump_ei(149.8)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.6,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.997,0.996,0.995,0.994,0.993
3.2,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.993,0.990,0.989,0.987,0.985
4.7,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.988,0.983,0.982,0.978,0.976
6.3,1.127e+02,1.128e+02,9.856e+00,2.353e+02,0.983,0.976,0.973,0.969,0.965
7.9,1.493e+02,1.463e+02,1.047e+01,3.061e+02,0.976,0.967,0.963,0.958,0.953
9.5,1.828e+02,1.721e+02,1.050e+01,3.654e+02,0.969,0.957,0.952,0.946,0.940
11.1,1.793e+02,1.715e+02,8.250e+00,3.591e+02,0.961,0.946,0.941,0.933,0.925
12.6,1.529e+02,1.598e+02,5.973e+00,3.187e+02,0.952,0.934,0.928,0.919,0.910
14.2,1.645e+02,1.749e+02,5.070e+00,3.445e+02,0.943,0.921,0.914,0.903,0.893
15.8,1.990e+02,2.027e+02,4.787e+00,4.066e+02,0.932,0.907,0.899,0.887,0.875
17.4,2.375e+02,2.268e+02,4.567e+00,4.689e+02,0.921,0.893,0.883,0.870,0.857
19.0,2.729e+02,2.401e+02,5.525e+00,5.186e+02,0.909,0.877,0.866,0.852,0.837
20.6,3.028e+02,2.471e+02,1.064e+01,5.605e+02,0.897,0.860,0.848,0.833,0.817
22.1,3.021e+02,2.623e+02,2.157e+01,5.860e+02,0.883,0.843,0.830,0.813,0.795
23.7,2.526e+02,2.937e+02,2.717e+01,5.735e+02,0.869,0.825,0.810,0.793,0.774
25.3,2.261e+02,3.207e+02,2.186e+01,5.686e+02,0.854,0.806,0.790,0.772,0.751
26.9,2.341e+02,3.356e+02,1.551e+01,5.852e+02,0.839,0.787,0.769,0.750,0.728
28.5,2.490e+02,3.524e+02,1.199e+01,6.133e+02,0.823,0.766,0.748,0.728,0.704
30.0,2.650e+02,3.659e+02,9.403e+00,6.402e+02,0.806,0.745,0.726,0.705,0.680
31.6,2.852e+02,3.799e+02,8.290e+00,6.734e+02,0.788,0.724,0.704,0.682,0.655
